number_draw,date,winning_number_1,winning_number_2,winning_number_3,winning_number_4,winning_number_5,winning_number_6,additional_number,Group 1 Share Amount,Group 2 Share Amount,Group 3 Share Amount,Group 4 Share Amount,Group 5 Share Amount,Group 6 Share Amount,Group 7 Share Amount,Group 1 No.winning,Group 2 No.winning,Group 3 No.winning,Group 4 No.winning,Group 5 No.winning,Group 6 No.winning,Group 7 No.winning
3923,20/11/2023,12,13,18,22,25,28,47,-,"$57,728",$957,$376,$50,$25,$10,-,6,249,346,"10,561","8,392","162,803"
3924,23/11/2023,2,24,30,37,43,45,35,"$2,672,397","$538,238","$1,706",$442,$50,$25,$10,2,1,217,457,"10,025","13,171","182,902"
3925,27/11/2023,16,19,20,26,33,40,23,"$1,198,481","$84,104","$2,090",$331,$50,$25,$10,1,3,83,286,"4,819","8,103","88,047"
3926,30/11/2023,3,32,34,38,41,42,17,"$1,151,815",-,"$1,603",$506,$50,$25,$10,1,-,104,180,"4,423","6,038","80,505"
3927,04/12/2023,6,18,26,31,37,38,22,-,-,"$1,965",$420,$50,$25,$10,-,-,92,235,"5,192","7,055","96,845"
3928,07/12/2023,10,16,25,29,42,44,48,"$2,915,532","$214,071","$1,814",$409,$50,$25,$10,1,4,133,322,"6,925","8,045","126,103"
3929,11/12/2023,9,12,21,22,44,47,31,-,"$126,398","$1,774",$333,$50,$25,$10,-,2,98,285,"5,612","7,814","108,022"
3930,14/12/2023,22,32,34,39,40,42,5,-,"$334,334","$2,705",$370,$50,$25,$10,-,1,85,339,"5,846","8,516","109,920"
3931,18/12/2023,12,15,16,23,24,38,44,-,"$148,395","$1,552",$406,$50,$25,$10,-,4,263,549,"14,926","15,990","266,116"
3932,21/12/2023,7,8,24,25,29,40,18,-,"$1,191,969","$1,688",$339,$50,$25,$10,-,12,616,"1,674","33,375","48,169","611,744"
3933,25/12/2023,11,12,19,23,25,41,47,"$665,967","$140,204",$873,$349,$50,$25,$10,2,2,221,302,"11,885","7,684","161,486"
3934,28/12/2023,13,17,18,24,37,41,15,-,"$133,724","$1,839",$412,$50,$25,$10,-,2,100,244,"5,009","7,196","93,999"
3935,01/01/2024,8,16,23,24,36,48,5,"$1,719,718","$25,370","$1,474",$255,$50,$25,$10,2,18,213,673,"11,069","17,962","191,385"
3936,05/01/2024,7,12,17,20,31,35,22,"$1,965,174","$73,010","$1,404",$292,$50,$25,$10,3,17,608,"1,598","30,291","41,419","525,873"
3937,08/01/2024,11,20,28,30,36,38,37,-,"$259,307","$1,766",$420,$50,$25,$10,-,1,101,232,"5,222","6,406","102,582"
3938,11/01/2024,2,9,10,43,45,46,13,"$1,504,496","$74,834","$1,326",$380,$50,$25,$10,2,5,194,370,"8,176","10,728","147,402"
3939,15/01/2024,24,25,26,28,30,35,4,"$1,295,233",-,"$1,410",$507,$50,$25,$10,1,-,133,202,"6,059","7,618","102,418"
3940,18/01/2024,5,28,30,37,38,41,43,-,"$178,761","$2,184",$456,$50,$25,$10,-,3,83,217,"5,107","6,104","94,677"
3941,22/01/2024,1,3,8,13,40,48,6,"$3,081,026","$38,504","$1,351",$199,$50,$25,$10,1,10,196,728,"10,494","17,684","172,323"
3942,25/01/2024,10,18,44,45,48,49,20,-,"$262,384","$1,961",$400,$50,$25,$10,-,1,92,246,"5,624","6,655","90,433"
3943,29/01/2024,20,22,24,28,40,49,27,"$1,586,297","$67,589","$1,491",$361,$50,$25,$10,2,6,187,422,"9,425","11,487","157,839"
3944,02/02/2024,2,27,29,36,44,48,12,"$5,974,351","$96,751","$1,988",$375,$50,$25,$10,1,13,435,"1,258","24,123","36,873","458,328"
3945,05/02/2024,14,17,20,25,28,37,13,-,"$54,964",$750,$339,$50,$25,$10,-,5,252,304,"5,836","7,839","103,717"
3946,08/02/2024,6,16,21,27,31,37,49,"$3,311,366","$46,924","$1,641",$370,$50,$25,$10,1,9,177,429,"9,673","10,548","167,959"
3947,12/02/2024,9,16,20,25,31,39,41,-,"$165,782","$1,983",$416,$50,$25,$10,-,2,115,299,"6,792","8,277","130,480"
3948,15/02/2024,15,18,22,35,41,48,5,"$3,725,231","$56,587","$1,476",$310,$50,$25,$10,1,8,211,548,"9,044","14,488","160,941"
3949,19/02/2024,1,10,21,29,35,42,27,"$1,744,053","$367,169","$2,158",$479,$50,$25,$10,1,1,117,288,"7,355","9,901","139,130"
3950,23/02/2024,18,21,26,35,38,43,40,"$3,087,960","$108,350","$1,827",$400,$50,$25,$10,4,24,979,"2,440","51,357","68,053","956,000"
3951,26/02/2024,2,8,14,27,39,42,10,-,-,"$2,235",$367,$50,$25,$10,-,-,81,269,"5,210","8,419","100,411"
3952,29/02/2024,1,14,28,44,45,49,16,"$1,531,384","$107,466","$2,050",$449,$50,$25,$10,2,6,128,319,"7,173","9,703","139,189"
3953,04/03/2024,13,17,25,27,28,44,3,-,"$45,727","$1,747",$282,$50,$25,$10,-,6,108,365,"5,799","8,889","105,050"
3954,07/03/2024,5,11,15,20,31,47,44,-,"$361,944","$1,431",$375,$50,$25,$10,-,1,174,362,"9,089","9,224","163,169"
3955,11/03/2024,5,9,30,37,40,49,33,-,"$95,881","$1,768",$373,$50,$25,$10,-,7,261,676,"14,543","18,745","266,194"
3956,14/03/2024,8,26,34,35,45,46,36,"$4,469,698","$101,034","$1,909",$353,$50,$25,$10,3,15,546,"1,612","30,677","42,203","562,557"
3957,18/03/2024,1,4,6,15,30,48,45,-,"$134,021","$1,418",$403,$50,$25,$10,-,2,130,250,"6,703","7,172","120,430"
3958,21/03/2024,6,8,18,19,33,44,15,-,"$372,412","$1,674",$300,$50,$25,$10,-,1,153,467,"9,115","12,316","163,334"
3959,25/03/2024,4,23,25,27,28,32,21,"$3,084,967","$219,494","$1,500",$256,$50,$25,$10,2,3,302,965,"17,074","23,676","291,822"
3960,28/03/2024,6,8,13,17,26,37,18,-,"$66,230","$1,301",$291,$50,$25,$10,-,4,140,342,"7,552","10,202","123,531"
3961,01/04/2024,3,12,18,19,27,41,15,"$3,082,102","$127,982","$1,314",$360,$50,$25,$10,1,3,201,400,"9,057","12,540","164,972"
3962,04/04/2024,3,4,13,31,36,43,19,-,"$64,614","$1,367",$302,$50,$25,$10,-,4,130,321,"6,248","8,609","107,850"
3963,08/04/2024,12,23,24,34,43,46,42,"$3,044,451","$127,495","$1,742",$308,$50,$25,$10,1,3,151,466,"7,425","10,209","135,895"
3964,11/04/2024,22,28,33,40,43,47,16,-,"$257,348","$2,132",$458,$50,$25,$10,-,1,83,211,"4,234","5,980","82,372"
3965,15/04/2024,5,10,28,36,41,42,19,"$1,483,404","$61,208","$2,004",$316,$50,$25,$10,2,6,126,436,"7,212","10,721","134,115"
3966,18/04/2024,18,22,29,32,37,47,49,-,-,"$2,829",$529,$50,$25,$10,-,-,60,175,"4,313","5,752","84,283"
3967,22/04/2024,6,8,11,16,33,37,23,-,"$121,789","$1,423",$240,$50,$25,$10,-,5,175,566,"9,747","14,023","165,881"
3968,25/04/2024,5,9,11,18,28,36,35,"$2,820,879","$96,467",$932,$316,$50,$25,$10,2,6,427,687,"18,595","18,415","294,740"
3969,29/04/2024,2,7,12,31,36,45,30,-,"$86,796","$2,035",$287,$50,$25,$10,-,3,88,341,"5,947","8,187","110,617"
3970,02/05/2024,4,5,31,37,43,46,7,-,"$356,376","$2,849",$423,$50,$25,$10,-,1,86,316,"6,152","10,050","121,692"
3971,06/05/2024,1,5,9,31,33,37,36,-,"$154,348","$1,705",$302,$50,$25,$10,-,4,249,768,"15,323","19,232","280,832"
3972,09/05/2024,9,15,20,26,43,49,36,"$13,123,509","$127,391","$2,006",$392,$50,$25,$10,1,12,524,"1,463","31,981","42,235","598,997"
3973,13/05/2024,2,16,17,22,24,49,42,-,"$63,305","$2,001",$405,$50,$25,$10,-,4,87,235,"4,989","6,630","94,721"
3974,16/05/2024,2,12,15,28,35,48,24,-,"$90,465","$1,606",$320,$50,$25,$10,-,4,155,425,"8,076","11,413","148,638"
3975,20/05/2024,7,10,32,33,39,48,37,"$2,939,453","$124,518","$1,838",$493,$50,$25,$10,2,5,233,474,"11,868","15,764","225,682"
3976,23/05/2024,3,4,22,27,39,43,6,-,"$84,848","$1,786",$344,$50,$25,$10,-,3,98,278,"5,117","8,140","94,724"
3977,27/05/2024,14,23,28,34,41,48,17,"$2,959,173","$184,221","$2,165",$426,$50,$25,$10,1,2,117,325,"6,891","9,687","133,015"
3978,30/05/2024,6,9,11,17,28,45,21,"$1,181,255","$124,343",$860,$213,$50,$25,$10,1,2,199,438,"8,076","9,908","129,784"
3979,03/06/2024,1,28,30,32,33,39,11,"$1,250,273","$263,216","$2,382",$389,$50,$25,$10,1,1,76,254,"4,932","6,917","89,899"
3980,06/06/2024,4,5,10,14,35,43,12,"$1,177,640","$49,585","$1,894",$302,$50,$25,$10,1,5,90,308,"5,681","9,155","103,740"
3981,10/06/2024,1,10,13,23,31,34,43,"$622,568","$21,845",$944,$265,$50,$25,$10,2,12,191,371,"7,449","8,003","117,250"
3982,13/06/2024,4,7,10,17,30,41,21,-,"$126,775","$1,203",$293,$50,$25,$10,-,2,145,325,"6,763","8,672","111,597"
3983,17/06/2024,8,10,12,16,17,30,19,"$2,885,049","$88,458",$839,$235,$50,$25,$10,1,4,290,565,"12,694","15,079","187,930"
3984,20/06/2024,3,12,14,16,17,30,27,"$1,195,673","$27,969","$1,342",$271,$50,$25,$10,1,9,129,349,"7,703","8,712","111,517"
3985,24/06/2024,20,23,28,30,34,49,25,-,-,"$2,082",$377,$50,$25,$10,-,-,87,262,"4,809","7,724","92,890"
3986,27/06/2024,1,8,11,14,17,30,5,"$1,470,113","$47,615","$1,015",$145,$50,$25,$10,2,13,241,925,"11,534","20,379","175,340"
3987,01/07/2024,11,19,21,26,28,33,39,"$1,280,103","$89,832","$1,993",$386,$50,$25,$10,1,3,93,262,"6,502","7,119","116,308"
3988,04/07/2024,4,9,12,15,31,44,33,-,"$65,038","$1,325",$383,$50,$25,$10,-,4,135,255,"7,749","7,484","130,561"
3989,08/07/2024,15,18,29,34,38,44,35,"$3,008,649","$46,656","$1,723",$326,$50,$25,$10,1,8,149,430,"7,342","9,587","135,171"
3990,11/07/2024,15,17,22,32,34,40,6,-,"$87,137","$1,892",$396,$50,$25,$10,-,3,95,248,"4,782","7,265","88,213"
3991,15/07/2024,4,6,17,32,37,41,10,-,"$186,640","$2,087",$441,$50,$25,$10,-,2,123,318,"6,913","10,878","135,842"
3992,18/07/2024,8,10,11,12,14,20,38,"$2,934,077","$66,746",$564,$249,$50,$25,$10,2,9,733,906,"25,949","19,667","337,545"
3993,22/07/2024,4,9,12,15,37,47,44,-,"$67,224","$2,055",$233,$50,$25,$10,-,4,90,434,"6,128","7,548","114,824"
3994,25/07/2024,14,21,34,35,43,49,33,-,"$91,277","$2,282",$489,$50,$25,$10,-,4,110,280,"6,714","9,189","119,635"
3995,29/07/2024,19,24,29,30,31,46,28,"$6,102,326","$81,338","$1,804",$324,$50,$25,$10,1,8,248,755,"14,969","21,378","258,354"
3996,02/08/2024,14,16,22,23,36,42,21,"$1,501,809","$126,469","$1,626",$398,$50,$25,$10,4,10,535,"1,194","26,481","35,000","480,532"
3997,05/08/2024,1,12,15,30,42,43,22,-,"$128,792","$1,640",$364,$50,$25,$10,-,2,108,266,"5,424","7,473","99,569"
3998,08/08/2024,23,26,32,36,41,49,31,-,"$92,693","$1,783",$529,$50,$25,$10,-,4,143,263,"7,167","8,793","120,664"
3999,12/08/2024,2,8,27,33,34,43,11,"$2,990,112","$78,831","$1,815",$305,$50,$25,$10,2,8,239,776,"13,092","21,621","245,277"
4000,15/08/2024,15,24,35,36,42,46,48,"$1,233,654","$129,859","$1,841",$435,$50,$25,$10,1,2,97,224,"4,980","6,154","88,926"
4001,19/08/2024,2,3,16,26,29,41,12,-,"$267,513","$1,688",$359,$50,$25,$10,-,1,109,280,"5,464","9,634","97,498"
4002,22/08/2024,2,5,8,43,45,48,41,"$988,861","$44,629","$1,313",$407,$50,$25,$10,3,8,187,329,"7,933","8,593","148,025"
4003,26/08/2024,6,8,18,34,35,37,33,"$1,248,227",-,"$2,231",$304,$50,$25,$10,1,-,81,325,"5,673","8,025","107,754"
4004,29/08/2024,3,9,10,12,27,41,29,"$1,219,985","$86,604",$866,$207,$50,$25,$10,1,6,204,467,"8,681","11,959","137,003"
4005,02/09/2024,6,7,13,30,37,39,16,-,"$45,132","$1,422",$298,$50,$25,$10,-,6,131,341,"6,932","8,437","121,061"
4006,05/09/2024,1,13,27,38,40,43,2,-,"$89,743","$2,092",$642,$50,$25,$10,-,4,118,210,"6,300","8,466","123,570"
4007,09/09/2024,1,4,10,16,18,29,6,"$5,889,771","$43,586","$1,231",$169,$50,$25,$10,1,14,341,"1,360","16,346","28,583","265,044"
4008,12/09/2024,5,6,14,36,45,49,12,-,"$64,002","$1,693",$301,$50,$25,$10,-,4,104,319,"5,025","8,996","95,443"
4009,16/09/2024,2,8,15,19,33,38,21,-,"$53,450","$1,446",$286,$50,$25,$10,-,7,178,491,"10,777","12,843","179,769"
4010,19/09/2024,7,13,17,22,31,37,1,"$1,456,186","$7,844",$699,$160,$50,$25,$10,4,76,587,"1,398","16,552","21,402","254,884"
4011,23/09/2024,9,20,22,32,37,47,1,-,"$131,911","$1,564",$429,$50,$25,$10,-,2,116,231,"5,579","6,960","101,894"
4012,26/09/2024,17,23,26,31,38,40,14,-,"$115,761","$1,974",$362,$50,$25,$10,-,3,121,360,"6,642","9,453","124,557"
4013,30/09/2024,4,33,34,38,40,43,15,"$5,848,080","$155,019","$1,417",$387,$50,$25,$10,1,4,301,602,"13,228","16,715","221,212"
4014,03/10/2024,2,9,15,17,40,48,28,-,-,"$2,090",$376,$50,$25,$10,-,-,85,258,"5,287","7,817","99,419"
4015,07/10/2024,16,22,23,31,41,49,8,"$3,073,546","$107,844","$2,191",$398,$50,$25,$10,1,6,122,367,"7,208","11,830","134,324"
4016,10/10/2024,1,17,24,25,27,39,30,-,"$256,432","$2,672",$369,$50,$25,$10,-,1,66,261,"5,071","7,417","100,359"
4017,14/10/2024,12,33,39,42,43,48,10,-,"$177,580","$2,181",$450,$50,$25,$10,-,2,112,296,"5,892","9,128","115,417"
4018,17/10/2024,2,4,10,25,36,38,22,-,"$144,271","$1,984",$351,$50,$25,$10,-,4,200,618,"12,526","17,627","232,078"
4019,21/10/2024,4,13,19,44,46,49,31,"$6,607,125","$72,422","$1,943",$355,$50,$25,$10,2,22,564,"1,685","32,208","44,182","588,245"
4020,24/10/2024,20,24,28,37,46,47,36,-,"$81,782","$2,191",$468,$50,$25,$10,-,3,77,197,"4,492","5,355","85,445"
4021,28/10/2024,10,16,33,37,45,47,6,"$2,917,076","$184,389","$2,149",$407,$50,$25,$10,1,2,118,340,"6,485","9,636","121,925"
4022,31/10/2024,2,6,10,17,18,49,35,"$1,210,119","$254,762","$1,261",$433,$50,$25,$10,1,1,139,221,"6,624","6,536","119,267"
4023,04/11/2024,14,18,25,28,29,44,36,-,"$65,352","$1,524",$427,$50,$25,$10,-,4,118,230,"5,321","6,530","98,857"
4024,07/11/2024,4,12,17,18,23,34,28,-,"$177,222","$1,270",$275,$50,$25,$10,-,2,192,484,"8,326","12,463","150,033"
4025,11/11/2024,13,28,39,43,46,48,30,-,"$215,010","$2,007",$418,$50,$25,$10,-,3,221,579,"11,822","16,383","224,035"
4026,14/11/2024,12,16,29,36,39,40,37,"$3,272,445","$114,990","$1,791",$466,$50,$25,$10,4,13,574,"1,204","29,410","38,930","548,392"
4027,18/11/2024,1,2,14,36,44,46,20,"$616,395","$86,512","$1,919",$408,$50,$25,$10,2,3,93,239,"4,313","5,872","82,317"
4028,21/11/2024,4,7,11,14,21,28,36,"$91,571","$41,770",$405,$290,$50,$25,$10,13,6,426,325,"12,307","7,502","153,706"
4029,25/11/2024,26,28,31,38,41,42,23,-,"$130,168","$2,183",$442,$50,$25,$10,-,2,82,221,"4,628","6,799","86,865"
4030,28/11/2024,1,2,4,15,18,24,35,-,"$350,328",$923,$411,$50,$25,$10,-,1,261,320,"10,837","9,475","172,609"
4031,02/12/2024,10,11,12,21,41,49,44,"$5,917,621","$105,859","$1,501",$380,$50,$25,$10,1,6,291,627,"16,236","17,126","283,170"
4032,05/12/2024,8,14,15,20,31,49,13,-,"$267,756","$2,302",$430,$50,$25,$10,-,1,80,234,"5,389","8,157","103,638"
4033,09/12/2024,1,4,8,10,16,46,23,-,"$48,292","$1,094",$264,$50,$25,$10,-,8,243,550,"12,629","14,923","192,073"
4034,12/12/2024,17,18,19,31,32,33,8,"$1,203,270","$76,564","$1,554",$341,$50,$25,$10,5,8,271,675,"12,641","19,533","230,724"
4035,16/12/2024,13,19,22,26,40,49,45,-,"$92,518","$2,300",$474,$50,$25,$10,-,3,83,220,"5,260","6,081","92,909"
4036,19/12/2024,3,9,10,20,23,32,42,-,"$91,910",$958,$324,$50,$25,$10,-,4,264,426,"12,895","10,363","192,030"
4037,23/12/2024,34,40,42,44,45,46,19,"$3,017,983","$208,513","$1,415",$462,$50,$25,$10,2,3,304,508,"13,213","14,597","210,002"
4038,26/12/2024,8,21,30,35,44,49,39,-,"$136,439","$1,935",$453,$50,$25,$10,-,2,97,226,"4,502","6,243","91,633"
4039,30/12/2024,3,10,13,29,32,46,18,-,"$203,722","$2,001",$418,$50,$25,$10,-,2,140,366,"7,776","11,163","150,353"
4040,03/01/2025,9,11,24,29,39,46,31,"$3,879,211","$136,132","$1,756",$340,$50,$25,$10,3,13,693,"1,957","39,460","50,998","708,871"
4041,06/01/2025,6,10,13,27,41,49,4,-,"$262,514","$1,770",$315,$50,$25,$10,-,1,102,313,"5,442","9,145","103,053"
4042,09/01/2025,13,32,34,36,38,40,37,-,"$75,163","$1,267",$297,$50,$25,$10,-,5,204,475,"7,173","10,363","123,580"
4043,13/01/2025,3,7,11,13,34,35,17,"$3,044,352","$91,930","$1,564",$263,$50,$25,$10,2,7,283,918,"15,475","23,902","274,774"
4044,16/01/2025,6,13,18,27,35,46,48,-,"$94,594","$1,991",$512,$50,$25,$10,-,3,98,208,"5,353","6,515","105,598"
4045,20/01/2025,3,5,6,16,32,49,4,-,"$142,491","$1,492",$374,$50,$25,$10,-,3,197,429,"9,710","16,771","177,859"
4046,24/01/2025,9,10,18,35,43,49,42,"$6,651,088","$72,042","$1,835",$370,$50,$25,$10,2,29,783,"2,119","44,856","56,090","818,208"
4047,27/01/2025,7,16,22,26,33,43,44,"$1,401,283","$147,504","$1,573",$373,$50,$25,$10,1,2,129,297,"6,137","7,280","111,267"
4048,30/01/2025,2,9,13,24,26,43,49,"$1,482,074",-,"$1,703",$387,$50,$25,$10,1,-,126,303,"6,926","8,096","130,392"
4049,03/02/2025,1,12,29,31,41,48,25,"$1,919,191","$238,686","$1,634",$305,$50,$25,$10,1,3,170,497,"8,910","13,852","157,847"
4050,07/02/2025,16,18,22,23,28,35,32,"$4,209,825","$73,857","$1,560",$302,$50,$25,$10,3,36,"1,172","3,306","60,358","83,889","1,079,969"
4051,10/02/2025,1,3,7,18,34,39,46,"$1,427,176","$150,229","$1,531",$501,$50,$25,$10,1,2,135,225,"7,427","6,535","136,220"
4052,13/02/2025,5,8,13,28,30,49,17,"$1,455,213","$51,061","$1,317",$249,$50,$25,$10,1,6,160,462,"9,012","11,815","153,434"
4053,17/02/2025,1,16,23,39,41,42,9,-,"$303,230","$2,397",$428,$50,$25,$10,-,1,87,266,"4,936","8,692","99,898"
4054,20/02/2025,3,25,31,37,39,42,21,"$3,249,509","$380,878","$1,845",$433,$50,$25,$10,1,1,142,330,"6,592","9,322","128,681"
4055,24/02/2025,24,37,38,42,48,49,31,-,"$289,228","$2,116",$524,$50,$25,$10,-,1,94,207,"5,185","6,449","95,073"
4056,27/02/2025,2,10,13,15,37,40,28,-,"$189,079","$2,281",$325,$50,$25,$10,-,2,114,437,"7,644","12,397","145,202"
4057,03/03/2025,4,16,24,25,43,49,46,-,"$132,911","$2,176",$425,$50,$25,$10,-,5,210,587,"12,932","16,638","244,769"
4058,06/03/2025,19,33,35,38,46,49,39,"$6,743,664","$79,343","$1,934",$380,$50,$25,$10,2,19,536,"1,490","29,758","41,791","543,400"
4059,10/03/2025,5,7,32,38,42,47,27,"$1,337,645","$93,870","$2,038",$326,$50,$25,$10,1,3,95,324,"5,139","8,221","98,410"
4060,13/03/2025,16,26,34,36,42,49,41,-,"$91,198","$2,001",$503,$50,$25,$10,-,3,94,204,"4,804","6,235","89,640"
4061,17/03/2025,7,30,39,42,43,48,33,"$3,172,134",-,"$2,054",$372,$50,$25,$10,1,-,132,398,"6,743","10,212","129,785"
4062,20/03/2025,9,10,11,13,23,42,20,"$1,216,346","$162,575",$968,$181,$50,$25,$10,1,4,182,531,"8,601","11,994","131,439"
4063,24/03/2025,18,19,25,28,31,44,34,"$1,301,717","$274,046","$1,923",$350,$50,$25,$10,1,1,98,294,"6,299","7,264","113,390"
4064,27/03/2025,21,22,27,35,40,42,3,-,"$265,009","$2,222",$427,$50,$25,$10,-,1,82,233,"4,887","7,075","90,715"
4065,31/03/2025,9,12,17,23,29,46,20,-,"$63,417","$1,385",$286,$50,$25,$10,-,6,189,499,"10,077","13,349","173,576"
4066,03/04/2025,12,14,15,16,21,40,23,"$5,973,897","$61,216","$1,625",$324,$50,$25,$10,1,10,259,710,"13,882","18,402","243,015"
4067,07/04/2025,7,19,35,40,43,47,33,"$1,327,382","$139,725","$1,796",$475,$50,$25,$10,1,2,107,221,"4,907","6,994","94,527"
4068,10/04/2025,14,26,27,30,46,48,10,-,"$89,066","$2,137",$406,$50,$25,$10,-,3,86,247,"4,282","7,537","82,339"
4069,14/04/2025,6,14,29,30,35,42,25,"$3,072,730","$189,847","$1,741",$441,$50,$25,$10,1,2,150,323,"7,158","10,648","133,852"
4070,17/04/2025,15,17,26,31,40,46,19,-,-,"$3,485",$408,$50,$25,$10,-,-,51,238,"4,624","6,795","88,776"
4071,21/04/2025,1,17,30,37,41,43,32,-,"$316,308","$2,026",$503,$50,$25,$10,-,2,127,279,"6,692","8,578","126,457"
4072,24/04/2025,17,19,21,23,30,40,33,-,"$197,702","$1,516",$432,$50,$25,$10,-,3,269,515,"13,071","15,630","228,993"
4073,28/04/2025,3,8,12,18,24,41,11,"$6,464,725","$124,689","$1,208",$241,$50,$25,$10,2,12,852,"2,333","39,650","60,384","666,310"
4074,01/05/2025,2,8,12,30,35,49,38,-,"$128,083","$1,616",$503,$50,$25,$10,-,2,109,191,"5,713","7,158","109,432"
4075,05/05/2025,5,8,28,38,40,43,39,"$1,549,227","$79,229","$1,329",$331,$50,$25,$10,2,5,205,449,"10,741","11,900","179,103"
4076,08/05/2025,9,13,17,39,46,47,22,-,"$132,631","$1,689",$474,$50,$25,$10,-,2,108,210,"4,939","6,836","94,717"
4077,12/05/2025,6,16,20,23,40,48,45,-,"$65,997","$1,973",$401,$50,$25,$10,-,6,138,371,"7,856","9,907","151,903"
4078,15/05/2025,9,16,17,20,34,38,18,"$6,029,737","$202,727","$2,248",$415,$50,$25,$10,1,3,186,550,"12,073","18,150","228,643"
4079,19/05/2025,2,15,17,18,39,45,26,"$1,279,986","$134,736","$1,971",$410,$50,$25,$10,1,2,94,247,"4,805","7,014","95,577"
4080,22/05/2025,3,10,32,34,44,48,29,-,-,"$1,863",$574,$50,$25,$10,-,-,96,170,"4,360","5,909","85,351"
